item,task,worker,tstart,tproc
5,41,1,1723.800000,9.600000
2,46,2,1724.400000,97.800000
6,37,3,1731.000000,57.600000
5,42,1,1733.400000,21.000000
0,48,6,1735.200000,72.000000
5,43,1,1754.400000,10.800000
1,47,5,1759.200000,80.400000
5,44,1,1765.200000,82.800000
6,38,3,1788.600000,22.800000
7,29,4,1797.600000,14.400000
0,49,6,1807.200000,6.000000
6,39,3,1811.400000,7.200000
7,30,4,1812.000000,25.200000
0,50,6,1813.200000,3.600000
4,45,0,1813.800000,100.800000
0,51,6,1816.800000,3.600000
6,40,3,1818.600000,25.800000
0,52,6,1820.400000,37.800000
2,47,2,1822.200000,80.400000
3,46,4,1837.200000,97.800000
1,48,5,1839.600000,72.000000
6,41,3,1844.400000,9.600000
7,31,1,1848.000000,15.000000
6,42,3,1854.000000,21.000000
0,53,6,1858.200000,10.800000
7,32,1,1863.000000,30.000000
0,54,6,1869.000000,51.000000
6,43,3,1875.000000,10.800000
6,44,3,1885.800000,82.800000
8,4,1,1893.000000,91.200000
2,48,2,1902.600000,72.000000
1,49,5,1911.600000,6.000000
5,45,0,1914.600000,100.800000
1,50,5,1917.600000,3.600000
0,55,6,1920.000000,66.000000
1,51,5,1921.200000,3.600000
1,52,5,1924.800000,37.800000
4,46,4,1935.000000,97.800000
1,53,5,1962.600000,10.800000
12,8,3,1968.600000,35.400000
1,54,5,1973.400000,51.000000
2,49,2,1974.600000,6.000000
2,50,2,1980.600000,3.600000
2,51,1,1984.200000,3.600000
3,47,2,1984.200000,80.400000
6,45,6,1986.000000,100.800000
8,27,1,1987.800000,60.000000
12,2,3,2004.000000,16.800000
7,33,0,2015.400000,25.200000
12,24,3,2020.800000,14.400000
2,52,5,2024.400000,37.800000
5,46,4,2032.800000,97.800000
12,25,3,2035.200000,29.400000
1,55,0,2040.600000,66.000000
7,34,1,2047.800000,18.000000
2,53,5,2062.200000,10.800000
3,48,3,2064.600000,72.000000
8,28,2,2064.600000,43.800000
7,35,1,2065.800000,18.000000
2,54,5,2073.000000,51.000000
7,36,1,2083.800000,21.000000
4,47,6,2086.800000,80.400000
7,37,1,2104.800000,57.600000
11,19,0,2106.600000,18.600000
6,46,2,2108.400000,97.800000
8,29,5,2124.000000,14.400000
2,55,0,2125.200000,66.000000
9,13,4,2130.600000,94.800000
3,49,3,2136.600000,6.000000
11,20,5,2138.400000,8.400000
3,50,3,2142.600000,3.600000
3,51,3,2146.200000,3.600000
5,47,5,2146.800000,80.400000
3,52,3,2149.800000,37.800000
12,17,1,2162.400000,12.000000
4,48,6,2167.200000,72.000000
12,18,1,2174.400000,21.000000
3,53,3,2187.600000,10.800000
8,5,0,2191.200000,87.600000
13,16,1,2195.400000,18.000000
3,54,3,2198.400000,51.000000
7,38,2,2206.200000,22.800000
13,7,1,2213.400000,16.800000
9,4,4,2225.400000,91.200000
5,48,5,2227.200000,72.000000
7,39,2,2229.000000,7.200000
10,13,1,2230.200000,94.800000
7,40,2,2236.200000,25.800000
4,49,6,2239.200000,6.000000
4,50,6,2245.200000,3.600000
4,51,6,2248.800000,3.600000
3,55,3,2249.400000,66.000000
4,52,6,2252.400000,37.800000
7,41,2,2262.000000,9.600000
7,42,2,2271.600000,21.000000
6,47,0,2278.800000,80.400000
4,53,6,2290.200000,10.800000
7,43,2,2292.600000,10.800000
5,49,5,2299.200000,6.000000
4,54,6,2301.000000,51.000000
7,44,2,2303.400000,82.800000
